song_tag,collection,share,review,play
欧美 电子 流行,202,0,3,39344
欧美 电子 运动,7486,36,10,1493699
欧美 流行,190000,1039,314,25921102
说唱 欧美 流行,8767,129,39,1090600
游戏 说唱 欧美,42231,324,80,6195398
欧美 夜晚 放松,4724,44,21,769342
欧美 运动 兴奋,1677,11,4,400010
舞曲 电子 欧美,11445,83,33,3978869
R&B/Soul 欧美,10329,111,58,1299769
欧美 民谣 摇滚,1602,11,27,495644
欧美 流行,190000,3161,2086,34735392
说唱 欧美,40848,298,124,6986884
电子 欧美 舞曲,19181,242,81,3968503
兴奋 欧美 运动,840000,13827,1430,81654872
欧美,3430000,43865,33536,405293696
欧美 电子 放松,1554,24,6,328980
浪漫 R&B/Soul 欧美,63836,758,264,3087641
治愈 清晨 欧美,38751,439,89,3571636
欧美 夜晚 放松,302,4,3,30969
欧美 夜晚 放松,419,14,6,49138
欧美 电子 夜晚,222,11,3,26538
欧美 午休 放松,51,3,0,7739
欧美 电子 流行,987,4,12,162878
欧美 流行 民谣,311,1,2,72671
欧美 流行 说唱,1302,13,6,177977
欧美 夜晚 浪漫,251,7,0,29541
欧美 放松 夜晚,754,7,0,48538
欧美 电子 说唱,219,1,3,52977
欧美 电子 运动,928,7,7,170186
欧美 夜晚 性感,27892,311,62,998634
欧美 电子 浪漫,407,2,4,64498
欧美 英伦 雷鬼,224,4,1,55695
欧美 摇滚 怀旧,1470,52,140,215735
欧美 电子 清新,562,3,4,77757
欧美 电子 清新,664,8,2,107611
欧美 电子 流行,202,0,3,39348
兴奋 欧美 运动,840000,13827,1430,81654872
欧美 运动 兴奋,1677,11,4,400015
欧美,3430000,43865,33536,405293728
说唱 欧美,40848,298,124,6986884
欧美 电子 运动,7486,36,10,1493708
电子 欧美 舞曲,19181,242,81,3968503
欧美 流行,190000,3161,2086,34735400
欧美 流行,190000,1039,314,25921114
说唱 欧美 流行,8767,129,39,1090608
游戏 说唱 欧美,42231,324,80,6195398
舞曲 电子 欧美,11445,83,33,3978869
欧美 夜晚 放松,4724,44,21,769342
R&B/Soul 欧美,10329,111,58,1299773
欧美 民谣 摇滚,1602,11,27,495644
欧美 电子 放松,1554,24,6,328980
浪漫 R&B/Soul 欧美,63835,758,264,3087645
治愈 清晨 欧美,38752,439,89,3571653
欧美 夜晚 放松,302,4,3,30969
欧美 夜晚 放松,419,14,6,49142
欧美 电子 夜晚,222,11,3,26538
欧美 午休 放松,51,3,0,7739
欧美 电子 流行,987,4,12,162878
欧美 流行 民谣,311,1,2,72671
欧美 流行 说唱,1302,13,6,177977
欧美 夜晚 浪漫,251,7,0,29541
欧美 放松 夜晚,754,7,0,48542
欧美 电子 说唱,219,1,3,52977
欧美 电子 运动,928,7,7,170191
欧美 夜晚 性感,27893,311,62,998638
欧美 电子 浪漫,407,2,4,64498
欧美 英伦 雷鬼,224,4,1,55695
欧美 摇滚 怀旧,1470,52,140,215735
欧美 电子 清新,562,3,4,77757
欧美 电子 清新,664,8,2,107611
欧美 电子 流行,202,0,3,39348
清新 流行 华语,3146,38,43,791757
华语 工作 快乐,2209,12,20,744314
华语,2135,15,16,533159
流行 KTV 华语,240000,949,349,60352420
夜晚 华语,2949,12,12,762911
华语,3770000,28229,60635,1069918784
华语 R&B/Soul,50167,392,128,14057149
华语 经典,1745,13,13,522445
伤感 流行 华语,74143,605,201,16695663
华语 浪漫 治愈,19674,186,66,4084144
华语 说唱,443,7,7,100832
华语 影视原声,69603,1088,561,23797926
华语 浪漫,1447,15,9,471872
华语,6340000,92753,68953,1391374592
电子 流行 华语,1265,22,2,206285
华语 90后 经典,16220,151,48,2663408
华语 古风,40511,226,136,3143251
华语 民谣 孤独,6503,109,23,1276605
华语 古风,2467,10,4,99507
华语 摇滚,5421,116,158,478731
华语 民谣 孤独,3213,63,8,583559
华语 影视原声,1772,8,3,259911
华语 古风 思念,536,3,1,48386
摇滚 华语 浪漫,529,19,2,107930
华语 摇滚 浪漫,691,1,0,96989
华语 流行,854,36,134,135717
华语 古风 思念,410,0,5,48370
华语 民谣 孤独,985,4,5,191396
民谣 华语 孤独,1062,4,3,246500
华语 民谣 孤独,2022,24,5,387717
华语 民谣 安静,1246,7,0,243020
华语 摇滚,1049,13,5,154642
华语 民谣 孤独,850,3,4,183257
华语 说唱 浪漫,1078,10,18,181517
华语 民谣 伤感,722,3,4,146486
